0,1
Dataset\words\e06\e06-033\e06-033-02-12.png,east-
Dataset\words\e04\e04-083\e04-083-04-02.png,as
Dataset\words\b05\b05-045\b05-045-09-09.png,.
Dataset\words\e06\e06-053\e06-053-05-03.png,might
Dataset\words\c04\c04-098\c04-098-02-04.png,pianistics
Dataset\words\a01\a01-049\a01-049-04-06.png,is
Dataset\words\e01\e01-119\e01-119-07-03.png,behind
Dataset\words\a01\a01-113u\a01-113u-03-00.png,provide
Dataset\words\c06\c06-043\c06-043-00-04.png,alcoholic
Dataset\words\e04\e04-132\e04-132-00-00.png,While
Dataset\words\d06\d06-091\d06-091-00-07.png,that
Dataset\words\c03\c03-016d\c03-016d-05-05.png,experiences
Dataset\words\e06\e06-037\e06-037-10-05.png,scope
Dataset\words\b05\b05-083\b05-083-03-06.png,good
Dataset\words\c01\c01-066\c01-066-01-06.png,by
Dataset\words\b04\b04-081\b04-081-06-00.png,go
Dataset\words\b04\b04-134\b04-134-06-11.png,fact
Dataset\words\c02\c02-000\c02-000-05-02.png,Father
Dataset\words\d04\d04-021\d04-021-05-02.png,but
Dataset\words\e01\e01-081\e01-081-04-03.png,following
Dataset\words\c03\c03-096a\c03-096a-04-03.png,had
Dataset\words\a03\a03-009\a03-009-07-03.png,uncommitted
Dataset\words\e01\e01-025\e01-025-00-04.png,no
Dataset\words\a04\a04-054\a04-054-05-08.png,think
Dataset\words\d01\d01-085\d01-085-01-03.png,the
Dataset\words\c04\c04-013\c04-013-05-00.png,best
Dataset\words\d04\d04-121\d04-121-05-00.png,questions
Dataset\words\d04\d04-086\d04-086-01-04.png,a
Dataset\words\b02\b02-097\b02-097-05-02.png,a
Dataset\words\a01\a01-049x\a01-049x-05-04.png,Southern
Dataset\words\b01\b01-122\b01-122-01-06.png,It
Dataset\words\b06\b06-023\b06-023-06-04.png,including
Dataset\words\d07\d07-093\d07-093-03-03.png,discussion
Dataset\words\c04\c04-116\c04-116-02-20.png,He
Dataset\words\b04\b04-169\b04-169-01-00.png,contempt
Dataset\words\e02\e02-025\e02-025-03-02.png,the
Dataset\words\e06\e06-053\e06-053-01-02.png,film
Dataset\words\a06\a06-119\a06-119-01-02.png,week
Dataset\words\b02\b02-045\b02-045-00-04.png,appeared
Dataset\words\a04\a04-092\a04-092-03-06.png,importance
Dataset\words\b04\b04-154\b04-154-04-04.png,woolly
Dataset\words\a01\a01-058u\a01-058u-03-04.png,yesterday
Dataset\words\a02\a02-082\a02-082-05-02.png,people
Dataset\words\a01\a01-043u\a01-043u-03-02.png,Minister
Dataset\words\a06\a06-004\a06-004-07-01.png,property
Dataset\words\a05\a05-013\a05-013-08-01.png,1962
Dataset\words\c02\c02-078\c02-078-01-06.png,enjoyment
Dataset\words\a05\a05-058\a05-058-07-02.png,The
Dataset\words\e04\e04-099\e04-099-01-04.png,sufficient
Dataset\words\b01\b01-014\b01-014-00-04.png,pressure
Dataset\words\d04\d04-032\d04-032-05-00.png,They
Dataset\words\a04\a04-043\a04-043-07-00.png,must
Dataset\words\c04\c04-017\c04-017-01-00.png,for
Dataset\words\b04\b04-107\b04-107-08-02.png,inflated
Dataset\words\e04\e04-091\e04-091-00-02.png,are
Dataset\words\d04\d04-117\d04-117-06-04.png,who
Dataset\words\c04\c04-105\c04-105-03-08.png,manager
Dataset\words\a02\a02-072\a02-072-03-06.png,some
Dataset\words\b04\b04-000\b04-000-02-06.png,without
Dataset\words\c03\c03-000f\c03-000f-04-04.png,also
Dataset\words\c06\c06-031\c06-031-02-02.png,distinction
Dataset\words\a06\a06-000\a06-000-03-04.png,""""
